user_id,video,label,role,t_start_s,t_end_s,blink_rate,blink_count,mean_blink_duration,ear_std,mean_brightness,std_brightness,perclos,mean_quality,valid_frame_ratio
2ea4,/Users/sam/Desktop/FYP/Videos/2ea4/2ea4_Relax.mp4,low,train,0.0,20.0,0.0,0.0,0.0,0.03736571940992501,98.00189661760433,0.4870099348440453,0.0,1.0,1.0
2ea4,/Users/sam/Desktop/FYP/Videos/2ea4/2ea4_Relax.mp4,low,train,5.0,25.0,0.0,0.0,0.0,0.03722699968075749,97.86032175096983,0.4472145860167125,0.0,1.0,1.0
2ea4,/Users/sam/Desktop/FYP/Videos/2ea4/2ea4_Relax.mp4,low,train,10.0,30.0,0.0,0.0,0.0,0.032739845650384965,98.04848158307985,0.6381898527406121,0.0,1.0,1.0
2ea4,/Users/sam/Desktop/FYP/Videos/2ea4/2ea4_Relax.mp4,low,train,15.0,35.0,0.0,0.0,0.0,0.031048556647547285,98.24347710527367,0.6895554813686299,0.0,1.0,1.0
2ea4,/Users/sam/Desktop/FYP/Videos/2ea4/2ea4_Relax.mp4,low,train,20.0,40.0,0.0,0.0,0.0,0.0268785658660504,98.50256750839077,0.48598698681326313,0.0,1.0,1.0
2ea4,/Users/sam/Desktop/FYP/Videos/2ea4/2ea4_Relax.mp4,low,train,25.0,45.0,3.0,1.0,200.0,0.039812759593484626,98.64857460304829,0.26040162356473934,0.01,1.0,1.0
2ea4,/Users/sam/Desktop/FYP/Videos/2ea4/2ea4_Relax.mp4,low,train,30.0,50.0,3.0,1.0,200.0,0.03829394352741719,98.64269558038963,0.2893253369413008,0.01,1.0,1.0
2ea4,/Users/sam/Desktop/FYP/Videos/2ea4/2ea4_Relax.mp4,low,train,35.0,55.0,9.0,3.0,200.0,0.05914322349365261,98.62075312541337,0.3051315059480366,0.03,1.0,1.0
2ea4,/Users/sam/Desktop/FYP/Videos/2ea4/2ea4_Relax.mp4,low,train,40.0,60.0,9.0,3.0,200.0,0.06314283325230509,98.65408969299241,0.3073393824067072,0.03,1.0,1.0
2ea4,/Users/sam/Desktop/FYP/Videos/2ea4/2ea4_Relax.mp4,low,train,45.0,65.0,6.0,2.0,200.0,0.05998976208012742,98.4533930222868,0.5205223930324271,0.02,1.0,1.0
2ea4,/Users/sam/Desktop/FYP/Videos/2ea4/2ea4_Relax.mp4,low,train,50.0,70.0,6.0,2.0,200.0,0.06087204787876459,98.04344415353998,0.6801823651886514,0.02,1.0,1.0
2ea4,/Users/sam/Desktop/FYP/Videos/2ea4/2ea4_Relax.mp4,low,train,55.0,75.0,0.0,0.0,0.0,0.043766054895547225,97.98124037150222,0.7450301631067248,0.0,1.0,1.0
2ea4,/Users/sam/Desktop/FYP/Videos/2ea4/2ea4_Relax.mp4,low,train,60.0,80.0,3.0,1.0,200.0,0.049413720381905474,98.05183649607346,0.8242170698741887,0.01,1.0,1.0
